pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance,atr_ratio,trend,multiplier
1,SELL,2024-01-02 17:37:00,2058.07,0.16,2061.07,2038.07,,0.0,0.0,0.0,2024-01-02 18:05:00,2061.07,0.16,SL,-50.608,28.0,-50.608,10736.974000000011,0.9190153976314485,mixed,1.224744871391589
2,SELL,2024-01-03 11:44:00,2055.82,0.16,2055.82,2035.82,2024-01-03 13:13:00,0.08,2052.75,23.25600000000131,2024-01-03 16:17:00,2035.82,0.08,TP,158.69600000000182,273.0,181.95200000000312,10918.926000000014,0.9613535733948999,mixed,1.224744871391589
3,SELL,2024-01-03 16:30:00,2037.0,0.16,2037.0,2017.0,2024-01-03 16:37:00,0.08,2033.48,26.85599999999986,2024-01-03 16:46:00,2037.0,0.08,SL,-1.304,16.0,25.55199999999986,10944.478000000014,0.9613535733948999,mixed,1.224744871391589
4,SELL,2024-01-03 17:17:00,2038.6,0.16,2038.6,2018.6,2024-01-03 17:40:00,0.08,2033.24,41.5759999999992,2024-01-03 21:28:00,2038.6,0.08,SL,-1.304,251.0,40.271999999999196,10984.750000000013,0.9613535733948999,mixed,1.224744871391589
5,SELL,2024-01-05 15:30:00,2030.49,0.16,2030.49,2010.49,2024-01-05 15:32:00,0.08,2026.57,30.056000000000584,2024-01-05 15:34:00,2030.49,0.08,SL,-1.304,4.0,28.752000000000585,11013.502000000013,0.8820988396889812,mixed,2.1213203435596424
6,SELL,2024-01-05 15:47:00,2030.49,0.28,2033.49,2010.49,,0.0,0.0,0.0,2024-01-05 15:49:00,2033.49,0.28,SL,-88.56400000000002,2.0,-88.56400000000002,10924.938000000013,0.8820988396889812,mixed,2.1213203435596424
7,SELL,2024-01-08 13:18:00,2024.34,0.28,2024.34,2004.34,2024-01-08 13:37:00,0.14,2021.21,41.53799999999835,2024-01-08 14:57:00,2024.34,0.14,SL,-2.282,99.0,39.25599999999835,10964.19400000001,0.8762677374767573,mixed,2.1213203435596424
8,SELL,2024-01-08 15:01:00,2024.34,0.28,2024.34,2004.34,2024-01-08 15:14:00,0.14,2020.88,46.15799999999733,2024-01-08 15:19:00,2024.34,0.14,SL,-2.282,18.0,43.87599999999733,11008.070000000007,0.8762677374767573,mixed,2.1213203435596424
9,SELL,2024-01-11 18:26:00,2016.61,0.28,2019.61,1996.61,,0.0,0.0,0.0,2024-01-11 18:49:00,2019.61,0.28,SL,-88.56400000000002,23.0,-88.56400000000002,10919.506000000007,0.9236319034773074,mixed,1.224744871391589
10,SELL,2024-01-11 19:02:00,2016.61,0.16,2016.61,1996.61,2024-01-11 19:57:00,0.08,2013.54,23.255999999999492,2024-01-11 20:06:00,2016.61,0.08,SL,-1.304,64.0,21.951999999999494,10941.458000000006,0.9236319034773074,mixed,1.224744871391589
11,BUY,2024-01-12 16:01:00,2056.71,0.16,2053.71,2076.71,,0.0,0.0,0.0,2024-01-12 16:13:00,2053.71,0.16,SL,-50.608,12.0,-50.608,10890.850000000006,0.9800860165058707,mixed,1.224744871391589
12,BUY,2024-01-12 16:22:00,2056.71,0.16,2056.71,2076.71,2024-01-12 16:35:00,0.08,2060.81,31.495999999999274,2024-01-12 16:56:00,2056.71,0.08,SL,-1.304,34.0,30.191999999999275,10921.042000000005,0.9800860165058707,mixed,1.224744871391589
13,SELL,2024-01-16 19:06:00,2031.22,0.16,2031.22,2011.22,2024-01-16 19:09:00,0.08,2026.33,37.8160000000008,2024-01-17 04:05:00,2031.22,0.08,SL,-1.304,539.0,36.512000000000796,10957.554000000006,1.0118322886330595,mixed,1.224744871391589
14,SELL,2024-01-17 05:43:00,2024.19,0.16,2024.19,2004.19,2024-01-17 07:12:00,0.08,2021.09,23.496000000001093,2024-01-17 09:44:00,2024.19,0.08,SL,-1.304,241.0,22.192000000001094,10979.746000000006,1.0118322886330595,mixed,1.224744871391589
15,SELL,2024-01-17 11:12:00,2019.35,0.16,2022.35,1999.35,,0.0,0.0,0.0,2024-01-17 11:44:00,2022.35,0.16,SL,-50.608,32.0,-50.608,10929.138000000006,1.0118322886330595,mixed,1.224744871391589
16,SELL,2024-01-17 16:11:00,2017.49,0.16,2020.49,1997.49,,0.0,0.0,0.0,2024-01-17 16:21:00,2020.49,0.16,SL,-50.608,10.0,-50.608,10878.530000000006,1.0118322886330595,mixed,1.224744871391589
17,SELL,2024-01-17 16:48:00,2017.49,0.16,2017.49,1997.49,2024-01-17 17:01:00,0.08,2012.13,41.5759999999992,2024-01-18 18:28:00,2017.49,0.08,SL,-1.304,1540.0,40.271999999999196,10918.802000000005,1.00014415075548,mixed,1.224744871391589
18,SELL,2024-01-25 15:30:00,2011.06,0.16,2014.06,1991.06,,0.0,0.0,0.0,2024-01-25 15:31:00,2014.06,0.16,SL,-50.608,1.0,-50.608,10868.194000000005,0.9189233014431648,mixed,1.224744871391589
19,BUY,2024-01-30 09:34:00,2037.46,0.28,2034.46,2057.46,,0.0,0.0,0.0,2024-01-30 13:15:00,2034.46,0.28,SL,-88.56400000000002,221.0,-88.56400000000002,10779.630000000005,0.8749181326194111,mixed,2.1213203435596424
20,BUY,2024-01-30 16:09:00,2040.48,0.27,2040.48,2060.48,2024-01-30 16:21:00,0.14,2045.02,61.277999999999494,2024-01-30 17:05:00,2040.48,0.13,SL,-2.1189999999999998,56.0,59.158999999999494,10838.789000000004,0.8749181326194111,mixed,2.1213203435596424
21,BUY,2024-01-31 16:42:00,2048.64,0.28,2048.64,2068.64,2024-01-31 16:47:00,0.14,2052.39,50.218,2024-01-31 18:06:00,2048.64,0.14,SL,-2.282,84.0,47.93600000000001,10886.725000000004,0.8483516483516487,mixed,2.1213203435596424
22,BUY,2024-01-31 18:15:00,2049.11,0.28,2046.11,2069.11,,0.0,0.0,0.0,2024-01-31 20:48:00,2046.11,0.28,SL,-88.56400000000636,153.0,-88.56400000000636,10798.160999999998,0.8483516483516487,mixed,2.1213203435596424
23,BUY,2024-02-01 18:09:00,2056.07,0.27,2056.07,2076.07,2024-02-01 18:27:00,0.14,2059.78,49.65800000000051,2024-02-01 19:40:00,2056.07,0.13,SL,-2.1189999999999998,91.0,47.53900000000051,10845.699999999999,0.8456726581677093,mixed,2.1213203435596424
24,BUY,2024-02-01 19:54:00,2056.07,0.28,2053.07,2076.07,,0.0,0.0,0.0,2024-02-01 20:04:00,2053.07,0.28,SL,-88.56400000000002,10.0,-88.56400000000002,10757.135999999999,0.8456726581677093,mixed,2.1213203435596424
25,SELL,2024-02-05 15:21:00,2020.54,0.27,2020.54,2000.54,2024-02-05 15:41:00,0.14,2017.3,43.07800000000013,2024-02-05 16:45:00,2020.54,0.13,SL,-2.1189999999999998,84.0,40.95900000000013,10798.095,0.8754659766908836,mixed,2.1213203435596424
26,SELL,2024-02-12 16:23:00,2014.76,0.27,2017.76,1994.76,,0.0,0.0,0.0,2024-02-12 16:44:00,2017.76,0.27,SL,-85.401,21.0,-85.401,10712.694,0.8407924332429789,mixed,2.1213203435596424
27,SELL,2024-02-12 17:00:00,2014.76,0.27,2017.76,1994.76,,0.0,0.0,0.0,2024-02-12 19:28:00,2017.76,0.27,SL,-85.401,148.0,-85.401,10627.293,0.8407924332429789,mixed,2.1213203435596424
28,SELL,2024-02-13 15:42:00,2011.75,0.27,2011.75,1991.75,2024-02-13 15:48:00,0.14,2008.02,49.93800000000026,2024-02-13 17:05:00,1991.75,0.13,TP,257.881,83.0,307.81900000000024,10935.112,0.8716654221540867,mixed,2.1213203435596424
29,SELL,2024-02-13 17:15:00,1991.21,0.28,1994.21,1971.21,,0.0,0.0,0.0,2024-02-13 17:21:00,1994.21,0.28,SL,-88.56400000000002,6.0,-88.56400000000002,10846.547999999999,0.8716654221540867,mixed,2.1213203435596424
30,SELL,2024-02-13 17:30:00,1993.4,0.28,1996.4,1973.4,,0.0,0.0,0.0,2024-02-13 18:37:00,1996.4,0.28,SL,-88.56400000000002,67.0,-88.56400000000002,10757.983999999999,0.8716654221540867,mixed,2.1213203435596424
31,SELL,2024-02-14 03:15:00,1989.97,0.27,1992.97,1969.97,,0.0,0.0,0.0,2024-02-14 04:03:00,1992.97,0.27,SL,-85.401,48.0,-85.401,10672.582999999999,0.8650559084590902,mixed,2.1213203435596424
32,SELL,2024-02-14 10:06:00,1988.75,0.27,1991.75,1968.75,,0.0,0.0,0.0,2024-02-14 12:34:00,1991.75,0.27,SL,-85.401,148.0,-85.401,10587.181999999999,0.8650559084590902,mixed,2.1213203435596424
33,SELL,2024-02-14 17:01:00,1985.92,0.27,1988.92,1965.92,,0.0,0.0,0.0,2024-02-14 17:05:00,1988.92,0.27,SL,-85.401,4.0,-85.401,10501.780999999999,0.8650559084590902,mixed,2.1213203435596424
34,SELL,2024-02-14 17:16:00,1985.92,0.27,1988.92,1965.92,,0.0,0.0,0.0,2024-02-14 18:04:00,1988.92,0.27,SL,-85.401,48.0,-85.401,10416.38,0.8650559084590902,mixed,2.1213203435596424
35,BUY,2024-02-16 20:07:00,2014.5,0.27,2011.5,2034.5,,0.0,0.0,0.0,2024-02-16 20:25:00,2011.5,0.27,SL,-85.401,18.0,-85.401,10330.979,0.8956602031394281,mixed,2.1213203435596424
36,BUY,2024-02-16 21:02:00,2014.5,0.26,2011.5,2034.5,,0.0,0.0,0.0,2024-02-16 22:00:00,2011.5,0.26,SL,-82.238,58.0,-82.238,10248.741,0.8956602031394281,mixed,2.1213203435596424
37,BUY,2024-02-19 01:12:00,2015.24,0.26,2012.24,2035.24,,0.0,0.0,0.0,2024-02-19 01:18:00,2012.24,0.26,SL,-82.238,6.0,-82.238,10166.503,0.8713096558319231,mixed,2.1213203435596424
38,BUY,2024-02-19 02:12:00,2015.24,0.26,2015.24,2035.24,2024-02-19 02:59:00,0.13,2018.74,43.381,2024-02-19 17:50:00,2015.24,0.13,SL,-2.1189999999999998,938.0,41.262,10207.765000000001,0.8713096558319231,mixed,2.1213203435596424
39,BUY,2024-02-20 10:59:00,2023.04,0.26,2023.04,2043.04,2024-02-20 12:29:00,0.13,2026.39,41.431000000001774,2024-02-21 02:02:00,2023.04,0.13,SL,-2.1189999999999998,903.0,39.312000000001774,10247.077000000003,0.778793460565437,mixed,2.1213203435596424
40,BUY,2024-02-21 06:07:00,2030.94,0.26,2027.94,2050.94,,0.0,0.0,0.0,2024-02-21 10:01:00,2027.94,0.26,SL,-82.238,234.0,-82.238,10164.839000000004,0.778793460565437,mixed,2.1213203435596424
41,BUY,2024-02-22 10:05:00,2032.27,0.26,2029.27,2052.27,,0.0,0.0,0.0,2024-02-22 11:27:00,2029.27,0.26,SL,-82.238,82.0,-82.238,10082.601000000004,0.7449158263466291,mixed,2.1213203435596424
42,BUY,2024-02-23 17:55:00,2029.26,0.26,2029.26,2049.26,2024-02-23 18:10:00,0.13,2032.45,39.35100000000071,2024-02-26 16:13:00,2029.26,0.13,SL,-2.1189999999999998,4218.0,37.23200000000071,10119.833000000004,0.7249086199079123,mixed,2.1213203435596424
