pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance,atr_ratio,trend,multiplier
1,SELL,2024-01-02 04:25:00,2062.8,0.12,2065.8,2042.8,,0.0,0.0,0.0,2024-01-02 04:55:00,2065.8,0.12,SL,-37.956,30.0,-37.956,10283.178000000018,0.9339975093399755,mixed,1.0
2,SELL,2024-01-02 18:42:00,2062.17,0.12,2065.17,2042.17,,0.0,0.0,0.0,2024-01-02 18:44:00,2065.17,0.12,SL,-37.956,2.0,-37.956,10245.222000000018,0.9339975093399755,mixed,1.0
3,SELL,2024-01-02 19:37:00,2062.17,0.12,2062.17,2042.17,2024-01-02 19:39:00,0.06,2057.35,27.94200000000098,2024-01-02 20:05:00,2062.17,0.06,SL,-0.978,28.0,26.96400000000098,10272.18600000002,0.9339975093399755,mixed,1.0
4,SELL,2024-01-03 13:44:00,2055.82,0.12,2055.82,2035.82,2024-01-03 15:13:00,0.06,2052.75,17.44200000000098,2024-01-03 18:17:00,2035.82,0.06,TP,119.02200000000136,273.0,136.46400000000233,10408.650000000021,0.9718709253191568,mixed,1.0
5,SELL,2024-01-03 18:30:00,2037.0,0.12,2037.0,2017.0,2024-01-03 18:37:00,0.06,2033.48,20.141999999999886,2024-01-03 18:46:00,2037.0,0.06,SL,-0.978,16.0,19.163999999999884,10427.814000000022,0.9718709253191568,mixed,1.0
6,SELL,2024-01-03 19:00:00,2042.12,0.13,2045.12,2022.12,,0.0,0.0,0.0,2024-01-03 19:03:00,2045.12,0.13,SL,-41.119,3.0,-41.119,10386.695000000022,0.9718709253191568,mixed,1.0
7,SELL,2024-01-03 20:01:00,2031.66,0.12,2034.66,2011.66,,0.0,0.0,0.0,2024-01-03 20:02:00,2034.66,0.12,SL,-37.956,1.0,-37.956,10348.739000000021,0.9718709253191568,mixed,1.0
8,SELL,2024-01-03 20:49:00,2031.66,0.12,2034.66,2011.66,,0.0,0.0,0.0,2024-01-03 22:01:00,2034.66,0.12,SL,-37.956,72.0,-37.956,10310.783000000021,0.9718709253191568,mixed,1.0
9,SELL,2024-01-05 17:30:00,2030.49,0.12,2030.49,2010.49,2024-01-05 17:32:00,0.06,2026.57,22.542000000000435,2024-01-05 17:34:00,2030.49,0.06,SL,-0.978,4.0,21.564000000000433,10332.347000000022,0.888095790136134,mixed,1.0
10,SELL,2024-01-05 17:47:00,2030.49,0.12,2033.49,2010.49,,0.0,0.0,0.0,2024-01-05 17:49:00,2033.49,0.12,SL,-37.956,2.0,-37.956,10294.391000000021,0.888095790136134,mixed,1.0
11,SELL,2024-01-08 15:18:00,2024.34,0.12,2024.34,2004.34,2024-01-08 15:37:00,0.06,2021.21,17.80199999999929,2024-01-08 16:57:00,2024.34,0.06,SL,-0.978,99.0,16.823999999999288,10311.21500000002,0.8820985085740574,mixed,1.0
12,SELL,2024-01-11 20:26:00,2016.61,0.12,2019.61,1996.61,,0.0,0.0,0.0,2024-01-11 20:49:00,2019.61,0.12,SL,-37.956,23.0,-37.956,10273.25900000002,0.932712593465085,mixed,1.0
13,SELL,2024-01-11 21:02:00,2016.61,0.12,2016.61,1996.61,2024-01-11 21:57:00,0.06,2013.54,17.441999999999616,2024-01-11 22:06:00,2016.61,0.06,SL,-0.978,64.0,16.463999999999615,10289.72300000002,0.932712593465085,mixed,1.0
14,BUY,2024-01-12 16:03:00,2047.46,0.12,2047.46,2067.46,2024-01-12 16:09:00,0.06,2051.5,23.26199999999978,2024-01-12 17:00:00,2047.46,0.06,SL,-0.978,57.0,22.28399999999978,10312.00700000002,0.9918321683027562,mixed,1.0
15,BUY,2024-01-12 17:08:00,2047.46,0.12,2044.46,2067.46,,0.0,0.0,0.0,2024-01-12 17:20:00,2044.46,0.12,SL,-37.956,12.0,-37.956,10274.05100000002,0.9918321683027562,mixed,1.0
16,SELL,2024-01-17 07:43:00,2024.19,0.12,2024.19,2004.19,2024-01-17 09:12:00,0.06,2021.09,17.622000000000817,2024-01-17 11:44:00,2024.19,0.06,SL,-0.978,241.0,16.644000000000815,10290.69500000002,1.0248678354107816,mixed,1.0
17,SELL,2024-01-17 18:11:00,2017.49,0.12,2020.49,1997.49,,0.0,0.0,0.0,2024-01-17 18:21:00,2020.49,0.12,SL,-37.956,10.0,-37.956,10252.73900000002,1.0248678354107816,mixed,1.0
18,SELL,2024-01-17 18:48:00,2017.49,0.12,2017.49,1997.49,2024-01-17 19:01:00,0.06,2012.13,31.181999999999398,2024-01-18 20:28:00,2017.49,0.06,SL,-0.978,1540.0,30.203999999999397,10282.94300000002,1.0149545352070324,mixed,1.0
19,BUY,2024-01-30 18:09:00,2040.48,0.12,2040.48,2060.48,2024-01-30 18:21:00,0.06,2045.02,26.26199999999978,2024-01-30 19:05:00,2040.48,0.06,SL,-0.978,56.0,25.28399999999978,10308.227000000019,0.8930236275005986,mixed,1.0
20,BUY,2024-01-31 18:42:00,2048.64,0.12,2048.64,2068.64,2024-01-31 18:47:00,0.06,2052.39,21.521999999999995,2024-01-31 20:06:00,2048.64,0.06,SL,-0.978,84.0,20.543999999999993,10328.771000000019,0.8610624497169972,mixed,1.0
21,BUY,2024-02-01 20:09:00,2056.07,0.12,2056.07,2076.07,2024-02-01 20:27:00,0.06,2059.78,21.282000000000217,2024-02-01 21:40:00,2056.07,0.06,SL,-0.978,91.0,20.304000000000215,10349.075000000019,0.8449416154451516,mixed,1.0
22,BUY,2024-02-01 21:54:00,2056.07,0.12,2053.07,2076.07,,0.0,0.0,0.0,2024-02-01 22:04:00,2053.07,0.12,SL,-37.956,10.0,-37.956,10311.119000000019,0.8449416154451516,mixed,1.0
23,SELL,2024-02-05 12:00:00,2026.45,0.12,2026.45,2006.45,2024-02-05 12:33:00,0.06,2022.82,20.802000000000653,2024-02-05 15:30:00,2026.45,0.06,SL,-0.978,210.0,19.82400000000065,10330.94300000002,0.8745319292606303,mixed,1.0
24,SELL,2024-02-05 15:30:00,2026.02,0.12,2026.02,2006.02,2024-02-05 17:02:00,0.06,2022.16,22.181999999999395,2024-02-05 21:49:00,2026.02,0.06,SL,-0.978,379.0,21.203999999999393,10352.147000000019,0.8745319292606303,mixed,1.0
25,SELL,2024-02-12 18:23:00,2014.76,0.12,2017.76,1994.76,,0.0,0.0,0.0,2024-02-12 18:44:00,2017.76,0.12,SL,-37.956,21.0,-37.956,10314.191000000019,0.8406410239245989,mixed,1.0
26,SELL,2024-02-12 19:00:00,2014.76,0.12,2017.76,1994.76,,0.0,0.0,0.0,2024-02-12 21:28:00,2017.76,0.12,SL,-37.956,148.0,-37.956,10276.235000000019,0.8406410239245989,mixed,1.0
27,SELL,2024-02-13 17:42:00,2011.75,0.12,2011.75,1991.75,2024-02-13 17:48:00,0.06,2008.02,21.402000000000108,2024-02-13 19:05:00,1991.75,0.06,TP,119.022,83.0,140.42400000000012,10416.65900000002,0.8713612271867869,mixed,1.0
28,SELL,2024-02-13 19:15:00,1991.21,0.12,1994.21,1971.21,,0.0,0.0,0.0,2024-02-13 19:21:00,1994.21,0.12,SL,-37.956,6.0,-37.956,10378.70300000002,0.8713612271867869,mixed,1.0
29,SELL,2024-02-14 05:15:00,1989.97,0.12,1992.97,1969.97,,0.0,0.0,0.0,2024-02-14 06:03:00,1992.97,0.12,SL,-37.956,48.0,-37.956,10340.74700000002,0.864783629451808,mixed,1.0
30,SELL,2024-02-14 12:06:00,1988.75,0.12,1991.75,1968.75,,0.0,0.0,0.0,2024-02-14 14:34:00,1991.75,0.12,SL,-37.956,148.0,-37.956,10302.79100000002,0.864783629451808,mixed,1.0
31,SELL,2024-02-14 19:01:00,1985.92,0.12,1988.92,1965.92,,0.0,0.0,0.0,2024-02-14 19:05:00,1988.92,0.12,SL,-37.956,4.0,-37.956,10264.83500000002,0.864783629451808,mixed,1.0
32,SELL,2024-02-14 19:16:00,1985.92,0.12,1988.92,1965.92,,0.0,0.0,0.0,2024-02-14 20:04:00,1988.92,0.12,SL,-37.956,48.0,-37.956,10226.879000000019,0.864783629451808,mixed,1.0
33,BUY,2024-02-29 17:36:00,2041.39,0.12,2041.39,2061.39,2024-02-29 17:47:00,0.06,2045.26,22.241999999999344,2024-03-01 12:33:00,2041.39,0.06,SL,-0.978,1137.0,21.263999999999342,10248.143000000018,0.881949543075842,mixed,1.0
34,BUY,2024-03-01 14:25:00,2050.78,0.12,2050.78,2070.78,2024-03-01 14:56:00,0.06,2054.75,22.841999999998798,2024-03-01 17:15:00,2050.78,0.06,SL,-0.978,170.0,21.863999999998796,10270.007000000018,0.881949543075842,mixed,1.0
35,BUY,2024-03-01 19:15:00,2057.51,0.12,2057.51,2077.51,2024-03-01 19:26:00,0.06,2061.53,23.141999999999886,2024-03-01 20:37:00,2077.51,0.06,TP,119.022,82.0,142.1639999999999,10412.171000000018,0.881949543075842,mixed,1.0
36,BUY,2024-03-01 20:45:00,2077.19,0.12,2077.19,2097.19,2024-03-01 20:57:00,0.06,2080.88,21.162000000000326,2024-03-04 18:29:00,2097.19,0.06,TP,119.022,4184.0,140.18400000000034,10552.35500000002,0.8645536688852603,mixed,1.0
37,BUY,2024-03-04 18:30:00,2096.71,0.13,2093.71,2116.71,,0.0,0.0,0.0,2024-03-04 18:36:00,2093.71,0.13,SL,-41.119,6.0,-41.119,10511.236000000019,0.8645536688852603,mixed,1.0
38,BUY,2024-03-04 18:45:00,2098.85,0.13,2098.85,2118.85,2024-03-04 19:37:00,0.06,2101.89,17.26199999999978,2024-03-04 20:45:00,2118.85,0.07,TP,138.859,120.0,156.12099999999978,10667.357000000018,0.8645536688852603,mixed,1.0
39,BUY,2024-03-04 20:45:00,2118.46,0.13,2115.46,2138.46,,0.0,0.0,0.0,2024-03-04 21:06:00,2115.46,0.13,SL,-41.119,21.0,-41.119,10626.238000000018,0.8645536688852603,mixed,1.0
40,BUY,2024-03-04 21:15:00,2116.23,0.13,2113.23,2136.23,,0.0,0.0,0.0,2024-03-05 05:17:00,2113.23,0.13,SL,-41.119,482.0,-41.119,10585.119000000017,0.92927202227042,mixed,1.0
41,BUY,2024-03-05 12:27:00,2119.94,0.13,2119.94,2139.94,2024-03-05 13:21:00,0.06,2123.48,20.26199999999978,2024-03-05 17:34:00,2139.94,0.07,TP,138.859,307.0,159.12099999999978,10744.240000000016,0.92927202227042,mixed,1.0
42,BUY,2024-03-05 17:45:00,2127.91,0.13,2124.91,2147.91,,0.0,0.0,0.0,2024-03-05 17:50:00,2124.91,0.13,SL,-41.119,5.0,-41.119,10703.121000000016,0.92927202227042,mixed,1.0
43,BUY,2024-03-05 18:01:00,2127.39,0.13,2124.39,2147.39,,0.0,0.0,0.0,2024-03-05 18:06:00,2124.39,0.13,SL,-41.119,5.0,-41.119,10662.002000000015,0.92927202227042,mixed,1.0
44,BUY,2024-03-06 18:32:00,2141.81,0.13,2141.81,2161.81,2024-03-06 18:49:00,0.06,2146.38,26.44200000000098,2024-03-06 19:00:00,2141.81,0.07,SL,-1.141,28.0,25.301000000000982,10687.303000000016,0.961864840630343,mixed,1.0
45,BUY,2024-03-06 19:00:00,2143.14,0.13,2140.14,2163.14,,0.0,0.0,0.0,2024-03-06 19:04:00,2140.14,0.13,SL,-41.119,4.0,-41.119,10646.184000000016,0.961864840630343,mixed,1.0
46,BUY,2024-03-06 20:57:00,2149.21,0.13,2146.21,2169.21,,0.0,0.0,0.0,2024-03-06 21:07:00,2146.21,0.13,SL,-41.119,10.0,-41.119,10605.065000000015,0.961864840630343,mixed,1.0
47,BUY,2024-03-06 22:29:00,2149.21,0.13,2146.21,2169.21,,0.0,0.0,0.0,2024-03-06 23:01:00,2146.21,0.13,SL,-41.119,32.0,-41.119,10563.946000000014,0.961864840630343,mixed,1.0
48,BUY,2024-03-07 07:54:00,2152.27,0.13,2152.27,2172.27,2024-03-07 08:04:00,0.06,2157.19,28.542000000000435,2024-03-07 10:01:00,2152.27,0.07,SL,-1.141,127.0,27.401000000000437,10591.347000000014,0.9651856579037061,mixed,1.0
49,BUY,2024-03-07 10:15:00,2154.13,0.13,2154.13,2174.13,2024-03-07 11:38:00,0.06,2157.89,21.58199999999858,2024-03-07 11:45:00,2154.13,0.07,SL,-1.141,90.0,20.44099999999858,10611.788000000013,0.9651856579037061,mixed,1.0
50,BUY,2024-03-07 11:45:00,2154.23,0.13,2154.23,2174.23,2024-03-07 12:28:00,0.06,2157.32,17.56200000000087,2024-03-07 15:16:00,2154.23,0.07,SL,-1.141,211.0,16.421000000000873,10628.209000000013,0.9651856579037061,mixed,1.0
51,BUY,2024-03-07 17:05:00,2161.61,0.13,2158.61,2181.61,,0.0,0.0,0.0,2024-03-07 17:08:00,2158.61,0.13,SL,-41.119,3.0,-41.119,10587.090000000013,0.9651856579037061,mixed,1.0
52,BUY,2024-03-07 17:29:00,2161.61,0.13,2158.61,2181.61,,0.0,0.0,0.0,2024-03-07 17:38:00,2158.61,0.13,SL,-41.119,9.0,-41.119,10545.971000000012,0.9651856579037061,mixed,1.0
53,BUY,2024-03-08 12:28:00,2164.76,0.13,2164.76,2184.76,2024-03-08 13:50:00,0.06,2167.87,17.681999999998034,2024-03-08 17:10:00,2164.76,0.07,SL,-1.141,282.0,16.540999999998036,10562.51200000001,1.0592805031654853,mixed,1.0
