side,open_date,open_price,close_date,close_price,lot,sl,tp,mult,reason,pnl,rr
BUY,2024-01-02,2058.91,2024-01-17,2011.735714285714,0.01,2011.735714285714,2153.2585714285715,0.6519202405202649,SL,-47.33728571428581,2.0
BUY,2024-01-17,2006.11,2024-01-31,2039.2,0.01,1954.3085714285714,2109.712857142857,1.224744871391589,REVERSE,32.92700000000015,2.0000000000000044
SELL,2024-01-31,2039.2,2024-03-01,2081.66,0.01,2081.66,1954.28,0.6708203932499369,SL,-42.622999999999806,2.0000000000000107
BUY,2024-03-06,2148.03,2024-04-01,2236.7014285714286,0.01,2103.694285714286,2236.7014285714286,0.6519202405202649,TP,88.50842857142835,1.9999999999999898
BUY,2024-04-01,2251.31,2024-04-11,2370.884285714286,0.01,2191.522857142857,2370.884285714286,0.8246211251235321,TP,119.41128571428591,2.0
BUY,2024-04-11,2372.41,2024-04-23,2298.145714285714,0.01,2298.145714285714,2520.938571428572,1.4577379737113252,SL,-74.42728571428596,2.0
BUY,2024-04-23,2322.11,2024-06-17,2318.96,0.01,2224.558571428571,2517.212857142858,1.4577379737113252,REVERSE,-3.3130000000000908,2.0
SELL,2024-06-17,2318.96,2024-07-05,2390.2428571428572,0.01,2390.2428571428572,2176.3942857142856,0.3872983346207417,SL,-71.44585714285721,2.0
BUY,2024-07-12,2411.59,2024-07-25,2354.1242857142856,0.01,2354.1242857142856,2526.5214285714287,1.1291589790636214,SL,-57.62871428571451,1.999999999999992
BUY,2024-07-25,2364.49,2024-08-19,2510.0242857142857,0.01,2291.722857142857,2510.0242857142857,1.224744871391589,TP,145.37128571428593,2.0
BUY,2024-08-19,2504.23,2024-09-26,2676.4900000000002,0.01,2418.1,2676.4900000000002,0.8246211251235321,TP,172.0970000000002,2.0
BUY,2024-09-26,2672.23,2024-10-08,2609.4957142857143,0.01,2609.4957142857143,2797.698571428571,1.1291589790636214,SL,-62.89728571428576,1.9999999999999927
BUY,2024-10-08,2621.85,2024-10-23,2755.8042857142855,0.01,2554.872857142857,2755.8042857142855,0.6519202405202649,TP,133.79128571428555,1.9999999999999931
BUY,2024-10-23,2715.57,2024-11-06,2654.5042857142857,0.01,2654.5042857142857,2837.7014285714286,0.6519202405202649,SL,-61.22871428571442,1.9999999999999925
BUY,2024-11-06,2658.94,2024-11-13,2587.555714285714,0.01,2587.555714285714,2801.7085714285713,1.5491933384829668,SL,-71.54728571428585,1.9999999999999936
BUY,2024-11-13,2572.7,2024-11-26,2633.02,0.01,2488.278571428571,2741.542857142857,1.5491933384829668,REVERSE,60.15700000000017,1.9999999999999947
SELL,2024-11-26,2633.02,2025-01-17,2702.92,0.01,2726.7014285714286,2445.657142857143,0.4898979485566356,REVERSE,-70.06300000000009,2.0
BUY,2025-01-17,2702.92,2025-02-03,2819.8542857142857,0.01,2644.4528571428573,2819.8542857142857,1.1291589790636214,TP,116.7712857142856,2.0
BUY,2025-02-03,2814.75,2025-02-11,2942.2185714285715,0.01,2751.0157142857142,2942.2185714285715,0.6519202405202649,TP,127.30557142857154,2.0
BUY,2025-02-11,2897.53,2025-03-20,3053.7014285714286,0.01,2819.444285714286,3053.7014285714286,0.6519202405202649,TP,156.00842857142834,1.9999999999999942
BUY,2025-03-20,3044.47,2025-04-07,2972.1971428571424,0.01,2972.1971428571424,3189.0157142857142,0.6519202405202649,SL,-72.43585714285744,1.9999999999999938
BUY,2025-04-07,2982.01,2025-04-11,3191.341428571429,0.01,2877.344285714286,3191.341428571429,1.5491933384829668,TP,209.16842857142868,2.0
BUY,2025-04-11,3237.53,2025-07-30,3275.86,0.01,3102.3928571428573,3507.804285714286,1.4577379737113252,REVERSE,38.16699999999993,2.0
SELL,2025-07-30,3275.86,2025-08-04,3368.3314285714287,0.01,3368.3314285714287,3090.917142857143,0.6708203932499369,SL,-92.63442857142853,2.0
BUY,2025-08-05,3380.47,2025-08-19,3315.6,0.01,3285.715714285714,3569.978571428571,1.1291589790636214,REVERSE,-65.03299999999989,1.9999999999999951
SELL,2025-08-19,3315.6,2025-08-25,3365.73,0.01,3392.828571428571,3161.142857142857,0.6708203932499369,REVERSE,-50.293000000000106,2.0000000000000058
BUY,2025-08-25,3365.73,2025-09-02,3502.4128571428573,0.01,3297.3885714285716,3502.4128571428573,1.1291589790636214,TP,136.5198571428573,2.0000000000000067
BUY,2025-09-02,3534.4,2025-10-15,3689.691428571429,0.01,3456.7542857142857,3689.691428571429,1.1291589790636214,TP,155.12842857142869,2.0
BUY,2025-10-15,4207.45,2025-10-22,4037.4557142857143,0.01,4037.4557142857143,4547.438571428571,1.4577379737113252,SL,-170.15728571428554,2.0
BUY,2025-10-22,4098.0,2026-01-20,4639.408571428571,0.01,3827.2957142857144,4639.408571428571,1.4577379737113252,TP,541.2455714285711,2.0
BUY,2026-01-20,4759.60009765625,2026-01-26,5027.87732421875,0.01,4625.4614843750005,5027.87732421875,1.1291589790636214,TP,268.1142265624999,2.0000000000000067
BUY,2026-01-26,5079.7001953125,2026-01-29,5368.100167410715,0.01,4935.500209263393,5368.100167410715,0.6519202405202649,TP,288.23697209821466,2.000000000000006
BUY,2026-01-29,5318.39990234375,2026-01-30,5090.042829241072,0.01,5090.042829241072,5775.114048549107,0.8246211251235321,SL,-228.52007310267845,2.0
BUY,2026-01-30,4713.89990234375,2026-03-02,5370.585588727678,0.01,4385.557059151785,5370.585588727678,2.7386127875258306,TP,656.5226863839284,1.9999999999999973
BUY,2026-03-02,5294.39990234375,2026-03-03,5076.585518973215,0.01,5076.585518973215,5730.028669084822,1.1291589790636214,SL,-217.97738337053534,2.000000000000004
BUY,2026-03-03,5107.39990234375,2026-03-18,4856.35693359375,0.01,4856.35693359375,5609.48583984375,0.6519202405202649,SL,-251.20596874999998,2.0
BUY,2026-03-18,4889.89990234375,2026-03-19,4671.171247209822,0.01,4671.171247209822,5327.357212611607,2.1213203435596424,SL,-218.89165513392845,2.0
BUY,2026-03-19,4600.7001953125,2026-03-23,4348.771554129465,0.01,4348.771554129465,5104.557477678572,1.224744871391589,SL,-252.09164118303536,2.0000000000000036
BUY,2026-03-23,4404.10009765625,2026-03-26,4375.5,0.01,4133.485700334822,4945.328892299107,1.224744871391589,REVERSE,-28.76309765625,2.0
SELL,2026-03-26,4375.5,2026-03-31,4665.742885044643,0.01,4665.742885044643,3795.014229910714,0.3872983346207417,SL,-290.4058850446431,1.9999999999999984
