run,total_return_pct,sharpe,max_dd_pct,win_rate_pct,final_balance,actual_n_trades,broke
731,-24.538,-0.053,-46.812,15.223,7546.18826596679,1143,False
732,-18.49,0.156,-72.764,15.048,8150.992115485554,1143,False
733,-69.299,-0.475,-69.942,14.786,3070.056367454059,1143,False
734,6.774,0.244,-30.641,15.836,10677.360864391963,1143,False
735,-34.742,-0.237,-56.105,14.873,6525.800549431324,1143,False
736,-50.333,-0.044,-78.687,14.348,4966.729018372671,1143,False
737,17.471,0.355,-31.77,16.535,11747.14413648292,1143,False
738,-100.35,-0.429,-100.338,13.194,-34.9793700787468,955,True
739,5.064,0.224,-36.985,15.573,10506.42112685917,1143,False
740,-4.811,0.156,-41.198,15.398,9518.898957130372,1143,False
741,16.596,0.348,-46.396,15.573,11659.632325459315,1143,False
742,53.713,0.705,-27.233,16.623,15371.299937007854,1143,False
743,-45.389,-0.511,-60.484,14.873,5461.073515310603,1143,False
744,23.033,0.405,-33.808,16.273,12303.330313210827,1143,False
745,-28.857,-0.226,-48.218,14.786,7114.2688608924145,1143,False
746,-73.784,-0.546,-87.337,14.436,2621.606953630786,1143,False
747,2.552,0.207,-40.153,15.748,10255.164993875778,1143,False
748,24.218,0.437,-29.83,15.923,12421.762964129495,1143,False
749,-38.616,-0.263,-56.672,14.786,6138.414932633423,1143,False
750,-43.573,-0.309,-57.74,14.173,5642.709140857376,1143,False
751,-9.838,0.104,-49.399,15.836,9016.19222047244,1143,False
752,8.744,0.281,-52.01,15.573,10874.359674540698,1143,False
753,-38.4,-0.41,-61.041,14.786,6160.001179352601,1143,False
754,24.564,0.442,-28.175,16.36,12456.378747156643,1143,False
755,60.817,0.742,-41.948,16.798,16081.701371828483,1143,False
756,-57.695,-0.311,-79.071,14.523,4230.462981627265,1143,False
757,-17.819,-0.184,-53.528,14.873,8218.084503937007,1143,False
758,-100.029,-1.9,-100.028,13.273,-2.9306001749810093,889,True
759,-37.286,-0.087,-69.998,15.836,6271.43288538932,1143,False
760,-35.487,-0.239,-54.017,15.486,6451.318274715695,1143,False
761,-100.549,-2.152,-100.534,13.242,-54.93206299212943,657,True
762,-100.45,-0.621,-100.426,13.78,-44.994610673662464,820,True
763,48.554,0.598,-42.733,16.448,14855.369193350825,1143,False
764,12.771,0.302,-37.543,15.573,11277.108475940493,1143,False
765,65.231,0.861,-29.215,16.798,16523.14984076988,1143,False
766,-43.268,-0.329,-56.83,14.611,5673.2410393701,1143,False
767,-51.879,-0.725,-68.705,14.348,4812.124818897649,1143,False
768,-41.685,-0.266,-62.745,14.611,5831.540181977251,1143,False
769,37.673,0.564,-28.984,16.535,13767.305676290474,1143,False
770,2.246,0.194,-38.638,15.748,10224.633095363079,1143,False
771,-22.115,-0.097,-38.735,15.748,7788.498747156615,1143,False
772,-24.536,0.371,-92.847,14.873,7546.382736657883,1143,False
773,-26.95,-0.034,-58.45,15.048,7305.044608923898,1143,False
774,35.295,0.57,-25.039,15.923,13529.468020997369,1143,False
775,-78.134,-0.31,-91.419,13.736,2186.5760174977895,1143,False
776,-6.968,0.072,-50.072,15.311,9303.230960629926,1143,False
777,30.001,0.46,-46.755,16.098,13000.11879965005,1143,False
778,46.687,0.638,-37.656,16.36,14668.677329833787,1143,False
779,-53.139,-0.804,-73.282,14.086,4686.10781102363,1143,False
780,-25.188,-0.094,-53.84,15.048,7481.235055118097,1143,False
781,-39.68,-0.004,-78.272,14.261,6032.039464566914,1143,False
782,-26.866,-0.127,-41.609,14.786,7313.406848643948,1143,False
783,-77.156,-0.304,-79.104,14.173,2284.394775153105,1143,False
784,-100.148,-2.237,-100.148,12.707,-14.832206474196937,543,True
785,1.55,0.228,-60.166,15.311,10155.012587926523,1143,False
786,-6.052,0.127,-41.24,15.573,9394.826656167952,1143,False
787,58.359,0.84,-20.421,17.41,15835.890418197694,1143,False
788,-12.203,-0.037,-46.349,15.573,8779.715860017499,1143,False
789,-28.342,-0.273,-44.629,14.698,7165.803594050751,1143,False
790,-12.199,0.009,-33.381,16.098,8780.104801399837,1143,False
791,3.232,0.195,-39.693,16.273,10323.229735783027,1143,False
792,-0.389,0.192,-48.508,15.573,9961.125308836406,1143,False
793,6.678,0.245,-28.422,16.185,10667.831800524946,1143,False
794,7.308,0.236,-36.901,15.311,10730.840304461955,1143,False
795,22.913,0.41,-33.495,15.923,12291.273130358719,1143,False
796,-2.785,0.113,-36.033,15.661,9721.537417322868,1143,False
797,-27.414,0.042,-68.687,14.786,7258.566113735747,1143,False
