Date,equity
2024-01-02,9938.488920384953
2024-01-03,10201.238271216098
2024-01-05,10078.216111986001
2024-01-08,9955.193952755906
2024-01-11,9832.17179352581
2024-01-12,9709.149634295713
2024-01-17,9910.38790551181
2024-01-18,9968.087359580055
2024-01-25,9906.576279965006
2024-01-30,9783.55412073491
2024-01-31,9660.531961504814
2024-02-01,9537.509802274717
2024-02-05,9475.99872265967
2024-02-12,9352.976563429573
2024-02-13,9615.72591426072
2024-02-14,9369.681595800526
2024-02-16,9246.659436570431
2024-02-19,9185.148356955382
2024-02-20,9238.76392650919
2024-02-21,9270.734908136486
2024-02-22,9209.223828521439
2024-02-26,9147.712748906391
2024-03-01,9617.70951531059
2024-03-04,10327.741455818026
2024-03-05,10652.00188626422
2024-03-06,10467.468647419075
2024-03-07,10282.93540857393
2024-03-08,10098.402169728786
2024-03-12,10036.891090113739
2024-03-13,9975.380010498691
2024-03-18,9913.868930883642
2024-03-21,10238.129361329837
2024-03-28,10115.10720209974
2024-04-01,11473.660003499564
2024-04-02,11350.63784426947
2024-04-03,11289.126764654422
2024-04-04,11166.104605424325
2024-04-05,11428.85395625547
2024-04-08,11691.603307086618
2024-04-09,11630.092227471569
2024-04-12,12541.362439195103
2024-04-22,12742.600710411201
2024-04-23,12882.327902012252
2024-04-26,12820.816822397202
2024-04-30,12697.794663167108
2024-05-01,12899.032934383205
2024-05-03,12776.010775153109
2024-05-07,12714.499695538061
2024-05-10,14134.563576552933
2024-05-15,14073.052496937886
2024-05-16,13950.030337707789
2024-05-17,14598.551198600177
2024-05-20,14799.789469816275
2024-05-23,16281.364430446196
2024-05-24,16158.342271216101
2024-05-30,16096.831191601052
2024-05-31,16035.320111986002
2024-06-03,15912.297952755907
2024-06-06,15727.764713910763
2024-06-07,15481.720395450571
2024-06-10,15420.209315835522
2024-06-12,15297.187156605425
2024-06-20,15174.16499737533
2024-06-21,15436.914348206476
2024-06-26,15375.403268591428
2024-06-27,15313.89218897638
2024-06-28,15252.381109361331
2024-07-03,15900.901970253719
2024-07-05,15593.34657217848
2024-07-08,15470.324412948383
2024-07-11,15347.302253718288
2024-07-12,15285.79117410324
2024-07-15,15224.280094488191
2024-07-16,15425.518365704289
2024-07-17,15302.496206474192
2024-07-19,15626.756636920387
2024-07-22,15601.436552930893
