pos_id,side,open_time,open_price,lot,sl,tp,half_exit_time,half_exit_lot,half_exit_price,pnl_half_usd,final_close_time,final_close_price,final_close_lot,final_reason,pnl_final_usd,hold_min,total_pnl_usd,running_balance,atr_ratio,trend,multiplier
1,SELL,2024-01-02 04:25:00,2062.8,0.16,2065.8,2042.8,,0.0,0.0,0.0,2024-01-02 04:55:00,2065.8,0.16,SL,-50.608,30.0,-50.608,10774.283000000029,0.9339975093399755,mixed,1.224744871391589
2,SELL,2024-01-02 18:42:00,2062.17,0.16,2065.17,2042.17,,0.0,0.0,0.0,2024-01-02 18:44:00,2065.17,0.16,SL,-50.608,2.0,-50.608,10723.675000000028,0.9339975093399755,mixed,1.224744871391589
3,SELL,2024-01-02 19:37:00,2062.17,0.16,2062.17,2042.17,2024-01-02 19:39:00,0.08,2057.35,37.25600000000131,2024-01-02 20:05:00,2062.17,0.08,SL,-1.304,28.0,35.952000000001306,10759.62700000003,0.9339975093399755,mixed,1.224744871391589
4,SELL,2024-01-03 13:44:00,2055.82,0.16,2055.82,2035.82,2024-01-03 15:13:00,0.08,2052.75,23.25600000000131,2024-01-03 18:17:00,2035.82,0.08,TP,158.69600000000182,273.0,181.95200000000312,10941.579000000032,0.9718709253191568,mixed,1.224744871391589
5,SELL,2024-01-03 18:30:00,2037.0,0.16,2037.0,2017.0,2024-01-03 18:37:00,0.08,2033.48,26.85599999999986,2024-01-03 18:46:00,2037.0,0.08,SL,-1.304,16.0,25.55199999999986,10967.131000000032,0.9718709253191568,mixed,1.224744871391589
6,SELL,2024-01-03 19:00:00,2042.12,0.16,2045.12,2022.12,,0.0,0.0,0.0,2024-01-03 19:03:00,2045.12,0.16,SL,-50.608,3.0,-50.608,10916.523000000032,0.9718709253191568,mixed,1.224744871391589
7,SELL,2024-01-03 20:01:00,2031.66,0.16,2034.66,2011.66,,0.0,0.0,0.0,2024-01-03 20:02:00,2034.66,0.16,SL,-50.608,1.0,-50.608,10865.915000000032,0.9718709253191568,mixed,1.224744871391589
8,SELL,2024-01-03 20:49:00,2031.66,0.16,2034.66,2011.66,,0.0,0.0,0.0,2024-01-03 22:01:00,2034.66,0.16,SL,-50.608,72.0,-50.608,10815.307000000032,0.9718709253191568,mixed,1.224744871391589
9,SELL,2024-01-05 17:30:00,2030.49,0.28,2030.49,2010.49,2024-01-05 17:32:00,0.14,2026.57,52.59800000000102,2024-01-05 17:34:00,2030.49,0.14,SL,-2.282,4.0,50.316000000001026,10865.623000000032,0.888095790136134,mixed,2.1213203435596424
10,SELL,2024-01-05 17:47:00,2030.49,0.28,2033.49,2010.49,,0.0,0.0,0.0,2024-01-05 17:49:00,2033.49,0.28,SL,-88.56400000000002,2.0,-88.56400000000002,10777.059000000032,0.888095790136134,mixed,2.1213203435596424
11,SELL,2024-01-08 15:18:00,2024.34,0.27,2024.34,2004.34,2024-01-08 15:37:00,0.14,2021.21,41.53799999999835,2024-01-08 16:57:00,2024.34,0.13,SL,-2.1189999999999998,99.0,39.41899999999835,10816.47800000003,0.8820985085740574,mixed,2.1213203435596424
12,SELL,2024-01-11 20:26:00,2016.61,0.28,2019.61,1996.61,,0.0,0.0,0.0,2024-01-11 20:49:00,2019.61,0.28,SL,-88.56400000000002,23.0,-88.56400000000002,10727.91400000003,0.932712593465085,mixed,1.224744871391589
13,SELL,2024-01-11 21:02:00,2016.61,0.16,2016.61,1996.61,2024-01-11 21:57:00,0.08,2013.54,23.255999999999492,2024-01-11 22:06:00,2016.61,0.08,SL,-1.304,64.0,21.951999999999494,10749.866000000029,0.932712593465085,mixed,1.224744871391589
14,BUY,2024-01-12 16:03:00,2047.46,0.16,2047.46,2067.46,2024-01-12 16:09:00,0.08,2051.5,31.01599999999971,2024-01-12 17:00:00,2047.46,0.08,SL,-1.304,57.0,29.711999999999712,10779.578000000029,0.9918321683027562,mixed,1.224744871391589
15,BUY,2024-01-12 17:08:00,2047.46,0.16,2044.46,2067.46,,0.0,0.0,0.0,2024-01-12 17:20:00,2044.46,0.16,SL,-50.608,12.0,-50.608,10728.970000000028,0.9918321683027562,mixed,1.224744871391589
16,SELL,2024-01-17 07:43:00,2024.19,0.16,2024.19,2004.19,2024-01-17 09:12:00,0.08,2021.09,23.496000000001093,2024-01-17 11:44:00,2024.19,0.08,SL,-1.304,241.0,22.192000000001094,10751.16200000003,1.0248678354107816,mixed,1.224744871391589
17,SELL,2024-01-17 18:11:00,2017.49,0.16,2020.49,1997.49,,0.0,0.0,0.0,2024-01-17 18:21:00,2020.49,0.16,SL,-50.608,10.0,-50.608,10700.55400000003,1.0248678354107816,mixed,1.224744871391589
