Date,equity
2024-01-02,9962.044
2024-01-03,10147.550000000001
2024-01-05,10127.832000000002
2024-01-08,10163.134
2024-01-11,10138.315999999999
2024-01-12,10119.678
2024-01-17,10081.142
2024-01-18,10111.183
2024-01-25,10070.064
2024-01-30,10057.392
2024-01-31,10039.979999999998
2024-02-01,10022.327999999998
2024-02-05,10039.811999999998
2024-02-12,9963.899999999998
2024-02-13,10025.248999999998
2024-02-14,9873.424999999997
2024-02-16,9797.512999999997
2024-02-19,9778.600999999997
2024-02-21,9758.788999999999
2024-02-22,9720.832999999999
2024-02-26,9738.016999999998
2024-03-01,9940.612999999994
2024-03-04,10175.961999999994
2024-03-05,10293.963999999994
2024-03-06,10237.026999999995
2024-03-07,10182.189999999995
2024-03-08,10256.232999999993
2024-03-12,10238.374999999993
2024-03-18,10255.335999999992
2024-03-21,10472.097999999993
2024-03-28,10427.801999999989
2024-04-01,10618.526999999987
2024-04-02,10600.968999999988
2024-04-03,10617.809999999987
2024-04-04,10595.211999999987
2024-04-05,10685.654999999988
2024-04-08,10761.517999999987
2024-04-09,10782.738999999987
2024-04-12,11161.140999999987
2024-04-22,11221.550999999989
2024-04-23,11331.492999999986
2024-04-26,11356.580999999986
2024-04-30,11296.814999999986
2024-05-01,11320.558999999985
2024-05-03,11231.994999999984
2024-05-07,11187.712999999985
2024-05-09,11239.148999999989
2024-05-10,11473.340999999986
2024-05-15,11470.106999999987
2024-05-16,11489.454999999987
2024-05-17,11590.996999999988
2024-05-20,11698.558999999992
2024-05-23,12043.92999999999
2024-05-24,12021.879999999988
2024-05-30,11974.434999999989
2024-05-31,11926.989999999989
2024-06-03,11905.019999999988
2024-06-06,11838.004999999986
2024-06-07,11802.464999999986
2024-06-10,11837.699999999984
2024-06-12,11742.809999999985
2024-06-20,11789.532999999987
2024-06-21,11879.237999999987
2024-06-26,11901.832999999984
2024-06-27,11949.627999999982
2024-06-28,11973.662999999982
2024-07-03,12155.60299999998
2024-07-05,12038.407999999981
2024-07-11,12228.31299999998
2024-07-15,12264.987999999978
2024-07-16,12433.167999999976
2024-07-17,12410.237999999976
2024-07-19,12386.267999999975
2024-07-22,12488.807999999975
2024-07-24,12393.917999999974
2024-07-25,12132.802999999974
2024-07-31,12252.912999999975
2024-08-01,12350.412999999975
2024-08-02,12379.197999999973
2024-08-06,12213.212999999974
2024-08-07,12070.877999999975
2024-08-08,12023.432999999975
2024-08-09,11834.917999999976
2024-08-12,11905.102999999977
2024-08-13,11929.457999999977
2024-08-14,11834.567999999977
2024-08-15,11695.395999999977
2024-08-16,11843.488999999978
2024-08-19,11868.083999999979
2024-08-20,11939.868999999979
2024-08-26,11844.978999999978
2024-08-28,11797.533999999978
2024-08-30,11750.088999999978
2024-09-02,11725.07899999998
2024-09-03,11712.408999999978
2024-09-04,11668.126999999977
2024-09-05,11579.562999999976
2024-09-06,11555.888999999977
2024-09-10,11511.606999999976
2024-09-12,11719.450999999981
2024-09-13,11884.433999999983
2024-09-16,11905.988999999983
2024-09-17,11858.543999999983
2024-09-18,11840.813999999984
2024-09-19,11793.368999999984
2024-09-20,11974.26899999998
2024-09-23,11860.768999999978
2024-09-24,12057.508999999984
2024-09-25,12077.493999999984
2024-09-26,12007.598999999982
2024-09-27,11960.153999999982
2024-09-30,11868.68899999998
2024-10-08,11937.39899999998
2024-10-14,11918.868999999979
2024-10-15,11871.423999999979
2024-10-16,11753.406999999981
2024-10-17,11573.11599999998
2024-10-18,11602.20799999998
2024-10-21,11713.90099999998
2024-10-22,11625.336999999981
2024-10-23,11619.610999999979
2024-10-30,11788.54399999998
2024-10-31,11724.271999999983
2024-11-01,11635.707999999982
2024-11-04,11658.625999999986
2024-11-05,11647.621999999987
2024-11-06,11739.17099999999
2024-11-07,11762.15899999999
2024-11-11,11918.383999999991
2024-11-12,12032.813999999991
2024-11-13,11985.368999999992
2024-11-14,12369.23399999999
2024-11-18,12321.78899999999
2024-11-19,12546.373999999987
2024-11-20,12428.873999999985
2024-11-21,12403.783999999985
2024-11-22,12749.469999999987
2024-11-25,12687.469999999988
2024-11-26,12743.789999999988
2024-12-09,12625.59799999999
2024-12-10,12527.544999999991
2024-12-11,12655.131999999994
2024-12-12,12805.835999999996
2024-12-13,12765.083999999995
2024-12-16,12787.035999999993
2024-12-17,12791.451999999992
2024-12-18,13207.387999999994
2024-12-19,13156.779999999993
2024-12-27,13106.171999999993
2024-12-30,13004.955999999993
2025-01-02,12993.371999999996
2025-01-03,12841.547999999995
2025-01-06,12875.899999999994
2025-01-08,12849.963999999993
2025-01-09,12881.435999999994
2025-01-10,12865.355999999998
2025-01-13,12814.747999999998
2025-01-14,12838.459999999997
2025-01-16,12711.627999999997
2025-01-17,12740.859999999997
2025-01-21,12663.835999999996
2025-01-22,12890.251999999997
2025-01-24,12973.787999999997
2025-01-28,12872.571999999996
2025-01-30,12771.355999999998
2025-01-31,13004.443999999994
2025-02-03,13041.307999999992
2025-02-04,13055.723999999991
2025-02-05,13094.587999999985
2025-02-07,13116.459999999988
2025-02-10,13188.379999999988
2025-02-11,13379.355999999987
2025-02-14,13402.747999999987
2025-02-17,13352.139999999987
2025-02-19,13224.827999999987
2025-02-20,13203.531999999985
2025-02-24,13152.923999999985
2025-02-27,13112.571999999982
2025-02-28,13297.627999999982
2025-03-04,13221.403999999986
2025-03-05,13170.795999999986
2025-03-07,13120.187999999986
2025-03-10,13018.971999999985
2025-03-11,12968.363999999985
2025-03-13,12960.859999999982
2025-03-14,12859.819999999982
2025-03-18,12918.619999999986
2025-03-19,12841.275999999985
2025-03-20,12823.099999999982
2025-03-21,12796.763999999981
2025-03-27,12724.299999999977
2025-03-28,12781.899999999976
2025-03-31,13095.451999999974
2025-04-01,13154.635999999975
2025-04-03,13186.091999999973
2025-04-04,13331.595999999976
2025-04-07,13302.587999999978
2025-04-09,13100.155999999979
2025-04-10,12944.65199999998
2025-04-11,13223.70799999998
2025-04-14,13173.09999999998
2025-04-16,13969.303999999971
2025-04-17,14034.081999999971
2025-04-21,14110.31399999997
2025-04-22,14363.828999999969
2025-04-23,14347.970999999969
2025-05-01,14545.340999999968
2025-05-05,14543.162999999966
2025-05-06,15168.434999999967
2025-05-08,15241.146999999968
2025-05-09,15120.952999999967
2025-05-12,15077.088999999962
2025-05-14,15257.006999999961
2025-05-15,15562.418999999965
2025-05-21,15504.239999999963
2025-05-22,15422.848999999964
2025-05-23,15062.266999999963
2025-05-27,14891.464999999964
2025-05-28,14834.530999999963
2025-05-29,14882.014999999963
2025-06-02,14849.236999999961
2025-06-03,15038.691999999963
2025-06-05,15008.883999999962
2025-06-06,14951.949999999963
2025-06-09,14899.80399999996
2025-06-12,14925.219999999958
2025-06-13,14940.403999999959
2025-06-16,14909.515999999956
2025-06-17,14852.581999999955
2025-06-19,14825.743999999955
2025-06-20,14741.611999999957
2025-06-24,15236.651999999958
2025-06-27,15487.672999999959
2025-06-30,15427.57599999996
2025-07-01,15690.281999999957
2025-07-03,15731.684999999956
2025-07-07,15640.593999999954
2025-07-08,15645.599999999951
2025-07-09,15465.30899999995
2025-07-11,15477.126999999946
2025-07-14,15388.135999999944
2025-07-16,15328.038999999944
2025-07-17,15376.141999999943
2025-07-21,15255.947999999942
2025-07-22,15445.962999999945
2025-07-23,15325.768999999946
2025-07-24,15265.671999999946
2025-07-25,15472.680999999946
2025-07-28,15352.486999999945
2025-07-29,15380.989999999943
2025-07-30,15412.501999999942
2025-08-01,15292.30799999994
2025-08-04,15453.922999999948
2025-08-05,15333.728999999947
2025-08-07,15345.237999999943
2025-08-08,15225.043999999943
2025-08-11,15076.655999999944
2025-08-12,15019.186999999944
2025-08-14,14932.354999999943
2025-08-18,14965.870999999941
2025-08-19,14908.93699999994
2025-08-20,14945.962999999942
2025-08-26,14858.770999999942
2025-08-27,14864.008999999945
2025-08-28,14829.862999999943
2025-08-29,15068.43999999994
2025-09-01,15380.56199999994
2025-09-02,15504.176999999938
2025-09-03,15665.39199999994
2025-09-05,15615.90399999994
2025-09-08,15681.91899999994
2025-09-09,15677.83099999994
2025-10-15,16545.113999999947
2025-10-16,16354.933999999947
2025-10-17,16836.813999999948
2025-10-20,16770.39099999995
2025-10-22,17026.44499999995
2025-10-27,17052.798999999948
2025-10-28,16890.006999999954
2025-11-06,16757.160999999953
2025-11-07,16747.614999999954
2025-11-10,17166.130999999965
2025-11-11,17091.638999999963
2025-11-12,17610.306999999964
2025-11-13,17920.352999999963
2025-11-14,17781.18099999996
2025-11-17,18268.48099999997
2025-11-18,18059.72299999997
2025-11-19,18381.78099999998
2025-11-25,18192.140999999974
2025-11-26,18118.946999999967
2025-11-28,18489.89099999996
2025-12-01,18341.268999999957
2025-12-09,18308.246999999952
2025-12-11,18534.07099999995
2025-12-12,18930.42799999995
2025-12-18,19288.086999999956
2025-12-22,19543.83099999997
